"GeneID"	"P7"	"P3"	"B6"	"Nude"	"ThreeD"
"A1cf"	-0.0576707860205124	-0.101373566921229	-0.251070479716423	-0.110473848925744	-0.38518748753504
"A4galt"	-0.0278771794127177	0.0114840958422818	-0.116500025897246	-0.0738468983882576	-0.176088453418447
"A4gnt"	-0.0138058526766342	0.0125529911146383	0.017842848601814	-0.00572904449559067	0.113050844624373
"Aacs"	-0.0734263367972679	-0.0359186798315669	-0.339352157109424	-0.219625496834084	0.0518250542219816
"Aadac"	-0.0443291117863536	-0.0431875812337422	0.0162787611551659	-0.102757650034061	-0.1039330092014
"Aadacl2"	-0.0329632093325475	-0.0413126807583449	-0.00350792806047099	-0.112725257042564	-0.146986915103674
"Aadacl3"	0.0438326032667704	0.0801194953090687	0.0657002806937257	0.095796625073787	0.310944645866191
"Aadacl4"	0.0232052776948531	0.00415861968922112	0.022563089975786	-0.0209266032816313	0.0857400822662157
"Aadat"	0.0116140186790437	-0.0233058822933439	-0.013459109507941	-0.0521348642792154	-0.169847512438399
"Aanat"	-0.0253687213059197	-0.00421870607683852	-0.0271131935688808	-0.154657346323636	0.040371467011448
"Aasdh"	-0.0843986387338319	-0.113598917819792	-0.217862146994452	-0.217023820125147	-0.131391574845864
"Aasdhppt"	-0.89274591216383	-0.563453586276845	-0.753412507204609	-0.844984256730035	-0.198652065077015
"Aass"	-0.052595332656559	-0.0969531540341529	0.0163135982008721	-0.124043703239559	-0.167016295857489
"Abat"	0.0360782236976013	0.0575569763978122	0.104931490550118	0.167301221911781	0.0607062925940453
"Abca1"	-0.0890798900055187	-0.13231553169216	-0.0594643003657782	-0.0485783379752519	-0.333520911104867
"Abca12"	-0.052507363779722	-0.0441348241676851	-0.0645298102422797	-0.150400309678427	-0.229387045358222
"Abca13"	-0.151389214324228	-0.184879942422024	-0.335449043264617	-0.225555159939426	-0.508820357174969
"Abca2"	-0.0386272471754992	-0.0288793152820422	-0.0090402185106299	0.0172735536226388	0.0473874783391283
"Abca3"	-0.0150933710540491	-0.01399975506827	-0.126741047399258	0.0217437110684589	0.0162567173094607
"Abca4"	-0.0213713729885464	0.00301960844460593	-0.0479718039083052	-0.0665612856443415	0.108418663806876
"Abca5"	-0.0132627240804073	-0.0772344061868326	-0.0523267403085312	-0.239268165937285	-0.0237093210868736
"Abca6"	-0.0668957513723288	-0.0512965962658327	-0.0783033943902847	-0.152437711955825	0.0234382293611806
"Abca7"	0.0116002412776555	0.000320217080537627	0.0531911152166491	0.123846982046393	-0.0106009101909585
"Abca8b"	-0.124477712153068	-0.112465054648504	-0.122390524576227	-0.0676889167387889	-0.2994221342338
"Abca9"	0.00134755888665727	0.0042350873809485	-0.0756872588487258	0.124475708427473	0.0103668301870788
"Abcb10"	-0.0320965755273704	-0.019490040766975	-0.0252218036858548	-0.0418094487932102	0.0851495633104518
"Abcb11"	-0.0445350779222186	-0.068706978856018	-0.116755584600541	-0.00812155951506266	-0.092471608698057
"Abcb1a"	-0.0305414518471187	-0.0550332130945406	-0.0514331381699949	-0.0836873519923222	0.0247359252751725
"Abcb4"	-0.016221946218891	-0.0440689653625269	-0.0150347879520679	-0.0326224096411979	0.0729358318021224
"Abcb5"	0.0187595139909565	0.00612590806004826	0.0741222190786104	-0.0511795157662716	0.158441228723435
"Abcb6"	0.023214742831128	0.0219610913065032	0.0787838918419525	0.102127262936146	0.0650217536180151
"Abcb7"	-0.553138187050112	-0.4559944137057	-0.448830409745199	-0.540518910937851	-0.339545173682753
"Abcb8"	0.0147834468411062	0.025804313278308	0.1157044662999	-0.0472443759420913	-0.0427157301867081
