"Barcodes"	"P7"	"B6"	"Nude"	"ThreeD"
"BRDN0003510401"	0.0551821038214262	-0.143727818435611	0.117501371267207	0.312172338602171
"BRDN0003494598"	-0.179012679687373	0.138527245853058	-0.0405399795923184	0.836851607589383
"BRDN0003510958"	0.06565913241695	0.000327710107752066	-0.147793719553548	-0.840094890097815
"BRDN0003493609"	0.0392614862102014	0.045080573370826	-0.0858199367782164	-0.0721466253754241
"BRDN0003499531"	0.0666011365012113	-0.169698699696557	-0.220520054122842	0.283372783091474
"BRDN0003506040"	0.0516165268363062	-0.00242646145159039	-0.101701306011295	-0.2318828241381
"BRDN0003497925"	-0.0748777742980677	0.203997824743902	0.0791371208023169	-0.100910607769419
"BRDN0003507441"	-0.0397287254597326	-0.2132413716304	0.0143819140619372	-0.513987431810914
"BRDN0003509771"	-0.0223363138789893	-0.238141678418029	0.146013067222748	1.62720556613093
"BRDN0003510361"	-0.0295104800606498	0.0670974283369706	-0.06082445327303	0.168802572701109
"BRDN0003499357"	-0.00856762605744155	0.0642595625423159	0.168914126277204	0.412071900854566
"BRDN0003497594"	-0.00684666950256053	-0.0500105401074353	-0.0746487773700926	0.336083496051845
"BRDN0003501466"	-0.0921590272238088	-0.104835761029722	-0.101156146453152	-0.389202190673109
"BRDN0003510369"	0.113475873964869	0.155544507440166	-0.174911654001352	-0.740097402369587
"BRDN0003511329"	-0.021197142903134	-0.174836535884057	0.053806300237675	-0.213882389569249
"BRDN0003508410"	0.0417247114037409	-0.0876415796879435	0.261725133273942	0.258918698954586
"BRDN0003510077"	0.0347449292449101	-0.156837296133604	0.414963202662817	-0.647764859554074
"BRDN0003510070"	0.0712118991083134	-0.295945414065293	-0.179402776287781	-0.403310047569862
"BRDN0003510180"	0.109006563880187	-0.0641418741561011	-0.170628366623855	0.138523497618265
"BRDN0003506634"	0.0133253189476714	-0.203956789536173	-0.0533433736400566	-0.255588862779286
"BRDN0003505310"	0.0578425978696734	0.0555614151772967	-0.304871371122784	-0.193283185958718
"BRDN0003507714"	-0.0281937871753568	-0.277905783539838	-0.0708597983332925	0.139354819449651
"BRDN0003500994"	0.0598468960063125	-0.389277594335364	0.00463808836478902	-0.310069531167343
"BRDN0003510969"	0.0710848180631439	0.0371221394669687	0.187163660774425	-0.779178117433514
"BRDN0003509940"	0.0166536157449191	0.0259297356872543	-0.203008145699048	-0.27913826169663
"BRDN0003509389"	-0.00229165782653368	0.374581027958104	0.11670373187976	-0.557011359407693
"BRDN0003497530"	-0.0336522698995301	-0.0816784754570919	-0.272577056044624	-0.0923411181252216
"BRDN0003494687"	0.0698068342072572	-0.166595736738535	-0.207530948112254	-0.0346248880846983
"BRDN0003495681"	-0.0398515667753321	-0.0779543367290529	0.0515349040680797	-0.356425648755955
"BRDN0003499354"	-0.0243887876913884	0.167787984376626	0.162538619933536	-0.108045004524196
"BRDN0003504226"	0.0242882606003182	-0.21597023162391	-0.133114971012682	0.509980998911597
"BRDN0003505578"	0.0358209874147194	0.117201548248048	-0.255395185295756	-0.320332748560756
"BRDN0003504925"	-0.0868130143066611	0.0973221059654661	0.214091062935239	0.084224422751251
"BRDN0003505798"	-0.0452023790840267	-0.188107430398577	0.0915711001449464	0.101139443083188
"BRDN0003506038"	0.0109118094930201	0.110820336122701	0.184119151876448	0.379980629114194
"BRDN0003500562"	-0.00940651463242339	-0.0191115827911579	-0.0336052405137324	-0.079817716881663
"BRDN0003505700"	-0.0399346562480755	0.0450581166223885	-0.0779223225158014	0.0572312144821034
"BRDN0003495433"	-0.0105825155367087	0.0440117463714993	-0.12110864746902	0.066910528897095
"BRDN0003509169"	0.0371101375276884	0.200676006983714	-0.0106963767286899	-0.226719628470385
"BRDN0003499349"	0.00234426370439119	-0.0389952691153466	-0.0212696127224066	0.110753497090394
"BRDN0003509484"	-0.0244275389192397	-0.177786332391911	0.281453968235989	-0.571981613048344
"BRDN0003511232"	0.0761061932500735	0.105907703138272	0.0119219698778822	-0.518306824640468
"BRDN0003504519"	0.116377193344677	-0.102879660966095	-0.407987254949298	-0.730844087989867
"BRDN0003506554"	-0.0418591695107701	0.053554772926553	-0.127205759151558	-0.178067293044625
"BRDN0003502321"	-0.0255066416435511	0.0601808141210536	-0.0410531071486986	-0.0859878874407901
"BRDN0003497758"	0.0601148096469791	0.256622004225455	0.128213727310912	-0.245402885546673
"BRDN0003496581"	-0.00389970980416293	-0.232999579595619	-0.210082273144544	0.174167508990178
"BRDN0003504540"	-0.0123967320916227	-0.0369697614824754	-0.246210348997659	-0.309138356094679
"BRDN0003497055"	0.0105640022969562	0.0117029901495451	0.19758998834255	0.0641593170054833
"BRDN0003509199"	0.082416110591849	-0.240475275443594	-0.282216354756777	-0.447127378934759
"BRDN0003503387"	-0.038580806692289	-0.166082510547627	-0.0343905977707765	0.0837475679057381
"BRDN0003497359"	0.00297699503565231	0.136342797553982	-0.0718542807497858	-0.0636389410906014
"BRDN0003506792"	-0.0223391711016752	0.0513346632430004	-0.136723221992578	0.182690034108599
"BRDN0003506787"	0.0587237498365837	0.159717659413149	0.00660230293824525	0.0124899162437647
"BRDN0003499074"	0.026908357601339	-0.116394901347473	-0.123886129304684	-0.00510574038775196
"BRDN0003507372"	0.0351373248411041	-0.186080685269009	-0.0182069205102275	-0.415638342751977
"BRDN0003500616"	0.0446095567930079	-0.0390595672104821	0.0607608851781176	-0.106495466666163
"BRDN0003503879"	0.0152241463871968	-0.113947045966868	0.0850951073655675	0.115782875676945
"BRDN0003509770"	0.0730600539643624	-0.0965486965003508	0.269337834774747	-0.658669720492085
"BRDN0003505369"	0.0409520564398833	0.188917456738915	-0.106086755920067	-0.121011944032167
"BRDN0003503120"	-0.0139101915105233	-0.116721993124079	-0.0364533174770054	-0.0377280161089411
"BRDN0003510368"	0.0462769630417572	-0.0682607418668322	-0.163262664721398	-1.29450445869791
"BRDN0003500689"	0.077215835451469	-0.332859034650527	-0.00685622432192562	-0.680568896430377
"BRDN0003509718"	0.0374385884680146	0.222863427480389	0.178996449448291	0.321025156922072
"BRDN0003503788"	0.0339349280092949	-0.035475926776221	0.0205824898741827	0.0853183643724356
"BRDN0003505562"	-0.11102561920292	0.108560599648927	0.175432822208505	0.263651230600196
"BRDN0003507491"	-0.023590992326054	0.0489413596590897	-0.187548235875026	-0.197002110535503
"BRDN0003496453"	-0.0263526758857184	-0.00962156205274788	-0.00403007233277534	0.359127155550828
"BRDN0003502814"	-0.187166432961199	-0.332575247371593	-0.189442481674298	-1.22324721247692
"BRDN0003505935"	0.0168887261923479	-0.0434224696483249	-0.0223704768325784	5.57015786351837
"BRDN0003496566"	0.116916549237897	-0.324882782675055	-0.11979702347715	-0.881987559876674
"BRDN0003501771"	0.0496483340726742	-0.123603444563596	-0.254006480311007	-0.453013232804594
"BRDN0003493585"	0.076477849479211	-0.412424757621468	0.156700059283546	-0.660258896623477
"BRDN0003510809"	-0.181199521226245	0.0450598786498561	-0.161812775448652	-0.145448004040958
"BRDN0003493516"	-0.0499422850540526	0.110998963649455	0.114933086389632	0.250947876675534
"BRDN0003501263"	0.0740507822470297	-0.0299647633402375	-0.0626045219995008	-0.0897853579025457
"BRDN0003502306"	-0.0384953295463158	-0.100143460993475	-0.0376988158850841	-0.333951590541955
"BRDN0003509927"	0.176965741106294	0.215062136295498	0.0896797192681297	-0.482378371937032
"BRDN0003500069"	0.0894747754788598	-0.036329943753871	0.0679697208625543	-0.811723289563263
"BRDN0003495618"	-0.0758454784949453	-0.0178263599446246	0.0191528294543146	0.140466175334034
"BRDN0003508840"	-0.00253551537205032	-0.141232093843185	0.0480199515820857	0.00966520356793155
"BRDN0003511376"	0.00636474382953024	0.0982944486345915	-0.0511980586512292	-0.00432504688143225
"BRDN0003503298"	0.000795267563161256	-0.0969218033591892	0.0266133827594279	-0.0322400331233593
"BRDN0003502292"	-0.0501352949949445	0.317513491912374	-0.258160308700835	0.186266646734985
"BRDN0003510085"	0.000579362598104274	-0.120063890474642	0.0387589145580809	-0.186735800351787
"BRDN0003494672"	0.0136352754757151	-0.0672135093729868	0.00781378556290695	0.236462359034757
"BRDN0003495192"	0.0794371568237996	-0.161558024769375	-0.158494348498012	-0.954270289449487
"BRDN0003506698"	-0.0766770378538703	0.0700865787022294	0.0923914740606472	0.108641058935758
"BRDN0003507393"	0.00632869423006233	-0.0215165317537463	-0.0787593300291519	0.163322686822526
"BRDN0003502700"	0.0337476868068377	-0.134636970227151	-0.337673607196973	-0.388794959588258
"BRDN0003509024"	0.00656914612744826	0.0765358339835147	0.10462232317121	0.128449257576639
"BRDN0003510324"	-0.000561241969335685	-0.147355173086018	-0.171811614452803	-0.494778230890823
"BRDN0003507649"	0.0359467499830514	-0.106774214055267	0.286943969143809	-0.0256342414666741
"BRDN0003510998"	-0.0704248303158114	0.00687900443537998	-0.00578925488971749	-0.632750475293234
"BRDN0003505013"	-0.0513719813444677	-0.222420398728746	0.0914956465083595	0.710483663442691
"BRDN0003500365"	-0.0129066262926998	0.200855765948474	0.113412544336576	0.115375306501978
"BRDN0003499729"	0.0765258050012925	-0.310229839897107	-0.0918745621428705	-0.815926076132576
"BRDN0003506624"	-0.0990716332147797	-0.345747268068709	0.132953257031708	-0.68566993753342
"BRDN0003511166"	0.0200387573586225	0.161790176888131	0.114172157007446	-0.0928625300561211
"BRDN0003499112"	0.103332200254227	0.172644633484668	-0.224494036048771	-0.65918135036247
"BRDN0003499117"	0.041286532517772	-0.0926819802331057	-0.19981563186192	-0.081351074143491
"BRDN0003506827"	0.0474621739109727	0.183125424009468	0.219531266015437	0.217065150830317
"BRDN0003508521"	0.0196551369479407	0.0225559834687468	0.337675407346519	-0.446415480570672
"BRDN0003498631"	-0.0269534916722843	-0.0833062302173403	-0.0680398250924464	0.25377703155905
"BRDN0003499600"	-0.385663566725153	-0.244165103676522	-0.213116320782866	0.341900355110548
"BRDN0003499598"	0.000171466504110429	-0.0149709217385339	0.371289087861144	-0.385858573148687
"BRDN0003504119"	0.14236950487064	-0.193853282569109	-0.202402314320633	-0.146484702021439
"BRDN0003511058"	0.072587799314741	-0.0226517778086406	-0.193822281965207	-0.679921248900739
