"GeneID"	"P7_1"	"P7_2"	"P7_3"	"P3_1"	"P3_2"	"P3_3"	"B6_R1C1"	"B6_R1C2"	"B6_R1C3"	"B6_R1C4"	"B6_R2C1"	"B6_R2C2"	"B6_R2C3"	"B6_R2C4"	"B6_R3C1"	"B6_R3C2"	"B6_R3C3"	"B6_R3C4"	"Nude_R1C1"	"Nude_R1C2"	"Nude_R1C3"	"Nude_R1C4"	"Nude_R2C1"	"Nude_R2C2"	"Nude_R2C3"	"Nude_R2C4"	"Nude_R3C1"	"Nude_R3C2"	"Nude_R3C3"	"Nude_R3C4"	"3D_1"	"3D_2"	"3D_3"
"A1cf"	-0.062404316126877	-0.0604329377205137	-0.0656362097641549	-0.0951985189013799	-0.0939842557817144	-0.0440437109225013	0.16196950386982	-0.41133260764756	-0.0869684070854978	-0.120203387966315	0.215241400129632	-0.387748715670246	-0.406607829424091	-0.244611683671162	-0.582048629069272	-0.202376160132587	-0.223453245526881	-0.176712916734623	-0.165265012105743	-0.237257986262328	0.0199462515266145	-0.30897172975184	-0.0666109296222542	-0.289952324270039	-0.174657420295249	0.0563575969849079	-0.373005409744905	-0.0485504502473008	-0.329156262744201	0.461055644297237	0.0426996207877588	-0.305898922559249	-0.645596829809786
"A4galt"	-0.0375152514254057	0.0271501671871459	-0.0854243954011497	-0.0179481286295602	0.0566596201281888	-0.0375949944450573	-0.0374911986085025	-0.0116004662258222	0.00332648041336329	-0.0392936643986019	-0.0157409338742038	-0.0410833690477792	-0.327152176254281	-0.0940098227938347	-0.00867732321253851	-0.122709883280602	0.121612112787487	-0.0946611787855487	-0.122184853214728	0.0815371322688072	-0.0905262433035657	-0.220562433495379	-0.153575905929324	-0.106220994799051	-0.100399370722645	0.152546005813788	0.260644165839272	0.0940193509214322	-0.35209851464371	0.312213061096838	-0.0647078436144032	-0.320864691635917	-0.212257630519676
"A4gnt"	0.0243444161431371	-0.00832041369220792	-0.0432877557305129	0.0434451309233832	0.0220078789422457	0.0120369260695769	0.311135264634656	-0.195371269700393	-0.0661121454856787	0.174534661535782	0.0921694895125966	-0.176412780424005	-0.0378274583486162	0.148273534007836	-0.0294760511335392	-0.0626795891796019	0.202692806698545	0.356634344720894	0.376975239016404	0.0499408534867397	-0.146677595177683	-0.0415944209609284	-0.304685266863056	0.0861536710092539	0.0972578854692003	0.414113245910112	-0.427840015420046	-0.169366119039044	-0.0197317447128411	0.341958519030419	0.133907838512852	0.154279937119219	-0.0430347105243643
"Aacs"	-0.0913594122295243	-0.0720501897130995	-0.0521300655714606	-0.0504863858093247	-0.0282924620050466	-0.0256529675916118	-0.211967914210209	-0.162045184241927	-0.39982225471571	-0.393097785001588	-0.538365275155869	-0.407987362389788	-0.421639776512111	-0.0447379370768025	-0.326247318374591	0.0154591087821411	-0.136041731892284	-0.08338199044801	0.0614458628102429	-0.175404437522752	-0.396341540967422	-0.235766080563258	-0.316034757853633	0.292290565834873	-0.269563337373359	-0.26045873658791	0.22454707795444	-0.353939762330173	-0.300076802347299	-0.120128303629324	0.119371130582679	0.191118108172137	0.203703802765973
"Aadac"	-0.0922949952911748	0.00325301420382777	-0.0408954090487046	-0.122810752621558	0.00932455839270436	-0.038580644032778	-0.151137189742682	0.194566388211699	0.137889166537205	-0.112004657974456	-0.360387595316429	0.0467104919474579	0.335875363422596	-0.0487281602527447	0.00944993484282999	0.178974243940031	0.234666402435214	0.0783323177075636	-0.0595763592376804	-0.1172182440927	-0.0215868624015938	0.213151708593196	-0.394218670865474	-0.248070680368942	-0.253551782606339	0.253368571134287	0.00576886680536816	-0.194289326313714	-0.393060501495351	-0.209934144956193	-0.209271316501609	0.029579459524763	-0.179321121840897
"Aadacl2"	-0.049819561986425	-0.0336062617699986	-0.0285206089158416	-0.0304901986445044	-0.0388092708747028	-0.0628873102413042	-0.250266561348727	0.0869657113292877	-0.0420921416245614	-0.221631643398973	0.0593865050144987	0.0253926708224658	-0.0688455645842376	0.214089009354307	0.0482458516493615	0.000151874041914526	0.00699708817578463	-0.0063029219748254	0.294725684999345	-0.121645824873269	-0.10604152226493	0.276477201587239	-0.260667520356222	-0.158540525916042	-0.378495227660161	0.0525333625472276	-0.0583464870940762	-0.271135882450698	-0.12254150894967	-0.133208768445941	-0.368154309920396	-0.0681663446480197	-0.0509491358790403
"Aadacl3"	0.0501885559321163	0.0755156244686613	0.0396354877286753	0.110849357809657	0.0681233201742833	0.0588474189380927	0.0046393666254239	0.227065140080778	0.106229130289629	0.0529779525702415	0.033151044793237	0.0530041074553728	0.183017101245196	0.397015815816171	0.00820599337470315	-0.0536239327725801	0.0370764243927225	0.219824637078459	0.23134479720856	-0.0970896144675136	-0.0782451297109156	0.0627742463998026	0.330683255468302	0.104935353412947	0.242562423115546	-0.00859173006296269	0.101761182121599	0.228326064360157	-0.030470717726527	0.657643727732866	0.434143568723014	0.332916294827827	0.508865284558173
"Aadacl4"	0.0283876233138259	0.0308328579629974	0.0166400113434123	0.0315725467444556	-0.0135319802268206	-0.0131744726694376	0.0905037395049262	0.0737407608119352	0.180550380188319	0.222787767087482	0.13023551472017	0.245802579506205	0.0741946265966704	0.212624516428646	0.209927138955726	-0.190695136281827	-0.0423946648123729	-0.0264516386265819	0.147396237985419	0.0320604896179928	0.178833145073714	-0.0976959740532052	0.101846859646348	-0.0947558475585151	-0.0327250114233809	0.150216474239354	-0.117340414409328	-0.0820219115836817	0.0320647578426742	0.101850754911332	0.0160953516593956	0.181505124128494	0.0294682598106217
"Aadat"	0.0335690623173643	-0.0211125894749396	0.0225949597047546	0.0136421413829957	-0.0419712611182308	0.00242473076790563	0.184033102086484	0.0358665579503018	-0.0966316085295178	-0.324855021637976	0.16091522439819	-0.0713672548452291	-0.356579527805079	0.107041973982626	-0.100166582498144	0.3003106483048	0.328821993837752	-0.00369827811295323	0.0602507880311996	-0.0303215696262405	-0.034180016327168	0.037870667423399	0.00779304458627319	-0.0344012681837603	-0.252341464983275	-0.16888833049875	0.183443323419411	-0.0859702064166832	-0.0400209011017008	-0.0703026085454845	-0.032367342024301	-0.178736976433767	-0.0871671181320043
"Aanat"	0.0151261892459372	-0.000900813566965605	-0.0341390328976892	0.0232387205803944	0.0164021414902719	-0.0108414152294104	0.141700069666861	-0.186818995373101	0.0795106142468436	-0.106218835136249	-0.040581887095335	0.0183263041399038	0.0453432358579813	-0.0661592572793192	-0.0272343932937258	-0.0164892518687521	-0.0212697856601184	0.340391656549649	0.00738220107498487	0.588402995242878	-0.0483377451406839	-0.263951631701948	-0.146014503271891	-0.244609739442224	0.077698242411958	-0.450701099400504	-0.461048431991161	-0.0330363002293798	0.0451289949788825	-0.00180440420716126	0.0769970344772331	0.036795894958737	0.152146302608683
