"GeneID"	"P7"	"P3"	"B6"	"Nude"	"ThreeD"
"Cox8c"	-0.0360408872100658	-0.0987823270146864	-0.235399064761588	0.0395931223806246	0.21619626335027
"Ak2"	-0.686091113663097	-0.506102940527256	-0.369878547638769	-0.556479051454934	0.310631607112127
"Control-target"	-0.135828878353835	-0.205389076332283	-0.189676749299063	-0.382012473019447	-1.02986197049665
"Abca6"	-0.0865536746171681	-0.127654958168097	-0.0910839084891457	-0.234172788144697	-0.0463195650975232
"Galnt3"	0.169416901415599	0.0709888831211394	-0.0954021671874964	-0.130059847779096	0.357747891597091
"Rdh10"	-0.100022981520518	-0.152770667733595	-0.18711395388457	-0.264251663492758	-0.401099583919834
"Cyp8b1"	-0.00283012089353791	0.0771504568515528	0.278450196407325	0.183697978249309	-0.0367374862703797
"Slc26a7"	-0.216949750753551	-0.18307628128272	-0.383578248302051	-0.124778802627459	-0.694205261703786
"Ugt2b38"	-0.171183588110769	-0.13764725628545	-0.36241970959395	0.0109297751919979	1.49729506010882
"Ugt2b5"	-0.0742611847035964	-0.0338884263331307	0.0201701422824224	-0.0846243121189086	0.140241258474
"Gabrg3"	-0.0480181497203463	-0.0431363393287568	0.023926068843938	0.144652511610138	0.474473452113956
"Cyb5r2"	-0.0726580959836668	-0.0664506641363661	-0.11902913935859	-0.141258647329664	0.216986729423926
"Kcna2"	-0.22506810398743	-0.160251943236928	-0.242636658870977	-0.261836629509874	-0.541281623883867
"Ugt2b37"	-0.132193061458071	-0.217454300493758	-0.0593759198099238	-0.408792751002587	-0.993255691251718
"Control-target"	-0.0737596236641559	-0.0547259532809703	-0.227955588033966	-0.00153341973640801	-0.105936059909177
"Slc7a11"	-0.027994013815346	-0.0984353704605036	-0.169826916391852	0.180218044388897	-0.0415578830359587
"Cyp3a41b"	-0.497017561597107	-0.490999907387596	-0.640906174603992	-0.102527608105208	-1.46226651641162
"Cyp3a11"	-0.148310494269864	-0.254909651446098	-0.545352189072049	-0.397733728680803	-0.436682381920684
"Hsd3b3"	0.00333904965216579	-0.104110685104756	-0.174021995719643	-0.195920808222202	0.0175466269006612
"Slc12a2"	0.0515502955263142	0.0342279463073063	-0.169730004678583	-0.0148765964911532	-0.196236091199734
"Pla2g4a"	-0.114165273251692	-0.186039021746473	-0.121675342378334	-0.49710414072122	-0.373920132583455
"Slc35a3"	0.063489178719071	0.0870409569634104	-0.189558917498596	0.0170755911958859	0.308324426117878
"Hsd17b12"	-0.0826817605340592	-0.181622009441403	-0.549584357454772	-0.0909609936856173	-0.486953073060764
"Control-target"	-0.369575908964008	-0.434290896308942	-0.405123439848119	-0.248868958081361	-1.27828026146635
"Vdac3"	-0.145066523189841	-0.165131750973616	-0.12258190754766	-0.359962123179221	-0.50519258395869
"Tpmt"	-0.0699880526352789	-0.0868135567127727	0.31202376584677	0.0343266288832619	-0.716137395919831
"Ctps"	-0.0891011109716174	-0.0829930246472807	-0.138640137106141	-0.350766373846396	-0.0743955320210717
"Alad"	0.0744248430206636	-0.0275425463174239	-0.181878823513493	-0.225154842425362	-0.0379188412839938
"Atp6v0a1"	-0.437168977528122	-0.390566598529441	-0.474438500796322	-0.338389691933952	-0.618474627518379
"Gabrg3"	-0.0827407283759174	-0.0573386573996542	0.095692998884328	0.0962560049911933	-0.184811907657154
"Olah"	0.0103405652877892	-0.0103752447604751	-0.233659071409228	-0.123194544357315	0.493059267857267
"Pnlip"	-0.140339494434667	-0.202996929690034	-0.0691020255106124	-0.44586267830777	-0.456959261136595
"Pi4kb"	-0.13092354540153	-0.0640797467380954	0.0535212664286131	0.179746444464718	0.0453590344617292
"Prdx5"	0.0551254892638029	0.104250493494625	-0.0959080501789894	0.189226280485995	0.224127233467475
"Rdh10"	-0.00445242280815041	-0.0131223261431313	0.0932632319941962	0.170911801153746	0.382378533982022
"Gys2"	-0.0144762604515927	-0.00631909190694098	-0.0192804539347045	-0.0387218597600906	-0.0761982229368515
"Pon3"	0.0402372642839921	0.080166591882367	0.143791497841712	0.0116957765308038	0.174944999239255
"Atp12a"	-0.0289134581524807	-0.0114898418174281	0.0222998697426735	-0.162207985607451	0.0164756742402663
"Tbxas1"	0.0548220201098746	-0.00101102053239241	0.20288056343628	-0.0193048637419013	-0.248162893045067
"Gabrg2"	0.039742283305828	0.040852146819302	-0.0297564052108203	-0.00122769372004073	0.153579559290301
"Trpm7"	-0.469187580371317	-0.45171489629224	-0.621605206879214	-0.176155309910774	-0.941824335020527
"Control-target"	0.0516973252436407	-0.00936982180513736	0.0794559842932971	-0.00372294421774064	-0.553291591676967
"Pde1b"	-0.314375539213118	-0.433583372507268	-0.54159966922254	-0.836557145005117	-1.16696300866055
"Sirt5"	0.0661082175333772	0.108334590365372	0.164532162619857	-0.0289391699478239	-0.139576919837808
"Lgsn"	-0.0425358834093126	-0.023541668743899	0.0400436469001497	-0.06151577780204	-0.0961494336800083
"Cyp2c29"	-0.061714177335242	-0.101515953112936	0.13939316187365	0.00977901837577598	-0.37193860366914
"Cdadc1"	0.0201510945331798	0.0113530107420571	-0.220019690722771	-0.150175055666052	0.183030129606206
"Pde3b"	-0.211348907456301	-0.204530626904836	-0.23330126892982	-0.432999366067656	-0.510472931515203
"Clcn5"	-0.0324616958435085	-0.0436104204605503	-0.0307436922215064	0.141346863163302	-0.00335760656747097
"Tecrl"	-0.0537513926873892	-0.137876914593683	-0.372172081672334	-0.407447449431805	-0.589381073115388
"Nat14"	0.0103179453129471	0.0437095197751435	-0.109788702525644	0.0170450677122768	0.0230260510292785
"Cox7a1"	-0.0869122397524479	-0.0777902906610485	0.064765867213581	-0.163953269562238	-0.0873206638715282
"Slc16a3"	0.0373624760393661	0.0535160065295539	0.103138050972482	-0.0654846346211484	0.237492324520426
"Slc16a2"	-0.0396819071500479	-0.101160261296017	0.0649362292600646	-0.0937587762716813	-0.199187353678079
"Fmo2"	0.0454988770190717	0.0215265697748157	-0.0991019342414837	-0.104131109043461	0.00994396887138743
"Slc25a47"	-0.139230764709529	-0.172114471872679	-0.349803853978343	-0.195463636240401	-0.594292374616006
"Hal"	0.0195956503562501	-0.0425597470583803	-0.0694553322212369	0.0212329656996805	-0.110768705388649
"Npc1l1"	-0.172938001912478	-0.188479995520768	-0.301136662704645	-0.112000592719891	0.0483615856973634
"Ugt2b38"	-0.197157112458596	-0.277467101404336	-0.369648690203293	-0.0154325898920549	-0.908627530313276
"Plcb1"	-0.0807245557014118	-0.105406673057407	0.072535715834489	-0.226440998488432	-0.249895369148312
"Msr1"	-0.0672294693095276	-0.0617157789888613	-0.173285598251001	-0.100025054928849	-0.129748333457862
"Ugt2b37"	-0.253124672867769	-0.305633628325207	-0.367757261748095	-0.474942549925135	-1.61075942678023
"Heph"	-0.207216823375039	-0.302209188296301	-0.638915458815683	-0.267566065377012	-0.976302228648411
"Ugt1a2"	0.0864163972649144	0.0458088109627631	0.272859713796364	0.239978594811084	0.418845814148497
"Nme5"	0.109511766543862	0.113694747936351	0.0452355704480879	0.109030049926995	0.201699938872328
"Pmm2"	-0.23412889140509	-0.129083070214146	-0.0172014020748482	0.0532300902928316	0.136017057584321
"Slc28a1"	0.0331926132915636	0.0168435652552057	0.097213993667267	-0.146937252207961	-0.160648611409955
"Cacng3"	0.0666032676258843	0.0618410954357296	0.0995418892956165	0.0827114352854795	0.442637843659338
"Mfsd1"	-0.424078156322613	-0.244439366147234	-0.554882984760449	-0.415358950822784	-1.44274279321474
"Ptgr1"	-0.317677982400921	-0.340246533029318	-0.380206660655409	-0.395671395852965	5.26787140210142
"Cd36"	-0.28570692515894	-0.377027668665841	-0.715433382632739	-0.532158016099953	-1.39205557804532
"Kcnk10"	-0.0630145174371412	-0.117045492958208	-0.235718349869833	-0.358176001225418	-0.618341229319538
"Abca2"	-0.223811937467859	-0.297659656276967	-0.714290509934411	-0.124285911930159	-0.972385302396411
"U2af1"	-1.12784162488033	-0.959073321044692	-0.905712662249899	-1.10710257167662	-1.11317848848671
"Aadacl3"	0.0371958416628128	0.0955909566377032	0.194419659821355	0.203059738844972	0.301905563446448
"Inpp4b"	-0.0222125472885552	-0.0997124370624631	-0.125791984561593	-0.140019672022822	-0.155616444566573
"Ldlr"	-0.224996538449376	-0.190010446817507	-0.292427417496183	-0.218363173308979	-0.582975559662391
"Vdac1"	-0.336587419860783	-0.556779871363876	-0.312341993477462	-0.510368444422479	-0.866839511778658
"Gmpr"	-0.119613434378771	-0.200528975637747	-0.232742391213032	-0.12032434355855	-1.02076167878737
"Atp5g2"	-0.0875701829229706	0.010433191828552	-0.00941556246725151	0.055286479313856	0.145807978731905
"St3gal6"	0.154447416789619	0.148911081973797	-0.00183298129298293	0.211374054320201	0.130914918542115
"Control-target"	0.0214643020520671	-0.0111757656260219	0.111340313548352	-0.0408164202443568	0.0082248452651398
"Naaladl2"	0.0779341488489988	0.0731407383973247	-0.0144520078312287	0.120356892005837	0.107802104696573
"Ldhb"	-0.0623083644327166	-0.0135140037919574	0.309819679967664	-0.274031322630961	0.0772744628275997
"Cyp3a41a"	-0.0771929841156779	-0.0426342398573508	-0.161873738171583	-0.0668331382167489	-0.263916155450752
"Akr1d1"	0.028760173317328	0.0252354621109968	-0.042215337443612	0.0283719745792138	0.25725390204772
"Aqp4"	-0.222896479079296	-0.306703950446488	-0.467815483733864	-0.473629767936608	-1.25173468544534
"Slc13a4"	-0.0536155193450451	0.0346599131170303	0.0824065483485167	0.112234663466205	0.126382625559547
"Slc25a53"	0.0682402700990331	0.0614759387055932	0.0213789902084904	-0.0176606933615991	0.155849256466045
"Mboat1"	-0.158183052278119	-0.192313509586939	-0.328423650253246	-0.52973590108729	-0.587255685198397
"Suclg1"	-0.032551284891493	-0.0570057969105628	0.0366575401680453	0.100542873372697	0.0736332921949542
"Sms"	-0.0547901197575126	-0.0561810468865511	-0.202332126921378	-0.22453843548519	-0.610083293511217
"Slc30a7"	0.0214345033416752	-0.00526691160022625	-0.11818255264766	0.268735855991297	-0.0376333264734313
"Control-target"	-0.423059364962171	-0.354993117594471	-0.350539328192391	-0.404358879312648	-0.987271073246294
"Pigt"	-0.144889168748885	-0.0957536439816103	-0.305077620657987	0.000522438588515737	0.615491612150832
"Grin3a"	-0.0490035167973002	-0.0362287212473224	0.165969172150823	0.0758326072169077	0.0735645002790538
"Gda"	-0.301829202421089	-0.376279586285516	-0.657076911964521	-0.47157007555879	-1.20623156248148
"Slc11a2"	-0.342237064145198	-0.233939980531901	-0.570557583103231	-0.0831163798564717	-0.860728937913936
"Control-target"	0.0141922728096918	-0.00245131941904503	0.174165820160602	0.131640784605818	-0.113900711803879
"Folr1"	-0.312268150893006	-0.434640553305549	-0.241320110113422	-0.648266075554307	-1.17627202903339
"Folr2"	-0.0522722865816077	-0.119619109910309	-0.204669390428169	-0.283679454437158	-0.0939494988750126
"Slc16a9"	0.0189388771599735	-0.0309570855342811	0.154545296963359	0.185873467151406	0.182696475645191
"Slc9a4"	-0.132614330757677	-0.144481510016291	-0.119706590143774	0.160305783136349	-0.652635497153067
"Eno2"	-0.296885066771855	-0.285627809111684	-0.347978491348786	-0.348204312711251	-0.0209889100250434
"Gapdh"	-0.887420084095989	-0.525133314391468	-0.771968596166037	-0.736867909666409	-0.180851832228617
"Ganc"	-0.289094990908101	-0.294465940476495	-0.297688261080001	0.0977302925847052	-0.828166280642842
"Nudt5"	-0.263427821457712	-0.393402872075322	-0.590188144706543	-0.573583182532143	-0.608998371983853
"Control-target"	-0.303898252320437	-0.382945433737131	-0.404818149794973	-0.55093251076528	-0.992724337715343
"Slc9a8"	-0.0245839306512517	0.0340286282705502	-0.303416604301499	-0.0589509395850866	0.324300217754494
"Acbd6"	-0.301006130305845	-0.302139597006526	-0.406345858057922	-0.167252155188297	-0.975674194640654
"Cyp4f39"	-0.173171547641438	-0.146614307129672	-0.136817904153157	-0.295015656095828	-0.637777854193812
"B4galt5"	-0.214030019130328	-0.372328747436035	-0.765639401837206	-0.50364686200502	-0.471138952863275
"Slc22a7"	-0.0458962470180467	-0.00705024559095522	-0.0578776264478901	0.0383345985079603	-0.0553287739364652
"A4gnt"	-0.0153159889443943	-0.00375999738298561	0.0684022139396594	-0.131008258722864	0.397019907581257
"Pygl"	0.150496671331874	0.13625656457712	-0.153261806617317	0.0955274172527051	-0.175957983615298
"Cyp4b1"	-0.0883257349154962	-0.038383603885351	-0.0999464452942802	0.159899727956735	0.311919320917093
"Asnsd1"	-0.018665511223954	-0.0322038627685311	0.00992242254057823	0.0458938810839279	0.0103678456261977
"Control-target"	-0.000468955017745019	0.0330296809753253	0.0334173895169111	0.0233783394091909	-0.0436266337654503
"Entpd5"	-0.145563559774916	-0.328907385198187	-0.432934616061867	-0.437303479803762	-1.15385591543324
"Asic5"	-0.152655332536813	-0.171050155777762	0.13053265619833	-0.154080136186765	-0.284227885798537
"Hs2st1"	-0.161897351371326	-0.213550419122392	-0.376625316110175	-0.502622328293522	-0.497108641524644
"Mboat4"	-0.11563129092377	-0.101257742820509	-0.204485209091065	-0.126417215532704	-0.205341514954016
"Gdpd1"	-0.012703141249679	-0.0538665626346973	0.0846142720635816	-0.0928186575554707	0.358746822956365
"Plce1"	-0.0970458831477984	-0.140009017446995	0.066778035348425	-0.199777081173201	-0.904007346688541
"Pon3"	-0.0490121704378678	-0.0103671647663354	0.157852398292239	-0.0335316528360187	0.173953372519851
"Control-target"	0.0414355852783587	0.0408516837892451	0.0947822042101711	-0.0894162523506632	-0.0675264329428796
"Slc22a2"	-0.0581870166480488	-0.0766458867434302	-0.138445827092783	0.00892222349683893	-0.555807157085598
"Itpa"	-0.0692604684672112	-0.081400612197226	0.0130369576263587	-0.244444600775902	0.111726545416518
"Plod2"	-0.199406019722271	-0.258679729196889	-0.32921825428055	-0.307705001613045	-0.833995197473592
"Mdh1b"	-0.133512600278382	-0.278920223944488	-0.341548007071536	-0.316230012874605	-0.578628930647929
"Nmrk1"	-0.0868025984776452	-0.06691678597983	-0.0575595538848525	0.0458155572685256	0.0124412803303267
"Man2a2"	-0.185419387226881	-0.317878885830143	-0.109284854948008	-0.197493378337045	-0.796670323735055
"Grxcr1"	0.00856910649701026	0.0430066654467161	-0.00331544071322969	0.291808001989672	0.146517674110844
"Lnpep"	0.129926803096766	0.0170835257086286	-0.198928448271692	-0.124047470427176	-0.0109810091619755
"Cyp17a1"	0.0635978874629438	0.100039354127361	0.476979354304973	0.102299675557774	-0.00139342125500247
"Osbpl8"	-0.0584303946339016	0.0157914687949924	-0.0451525479996684	-0.154410635022874	-0.189423429316657
"Slc14a1"	0.09182661275125	0.100964552313131	0.0234210886541672	0.169311500299785	-0.0851681808114669
"Slc12a2"	0.0982165414642353	0.0618962224395209	-0.198219493868146	0.105267852806774	-0.356349647574923
"Itpr1"	-0.0331133246665677	-0.0573374879439813	0.357588697004737	-0.118955817507805	-0.373060378437928
"Acsm2"	-0.0734090689723954	-0.108735096291442	-0.208604358440618	-0.261150313035725	0.156054920765429
"Rrm1"	-1.07920794136475	-1.35619770378517	-1.09892652297427	-0.913090912296613	-2.56329631670469
"Tet2"	-0.274830195038497	-0.433370497275205	-0.530301672653437	-0.724601207059854	-1.30747320771288
"Pde1b"	-0.290290911195218	-0.210737065115518	-0.356643042505	-0.495075023187901	-0.948118398072783
"Control-target"	-0.0868773374552631	-0.177428625428792	0.0231263292035801	-0.168106561354297	-0.453663239109211
"Eci2"	0.0742597464743878	0.0040506251144078	0.313345701850344	0.174326941298808	-0.0896227171921907
"Alg3"	-0.250865542438407	-0.10351386954627	0.218706032993151	0.334783525988551	0.369281639273444
"Slc4a10"	-0.00360736457236322	-0.0158245953905576	0.205889846603249	0.272379108580462	0.10130330189989
"Slc7a3"	0.00508061343081063	-0.0244838639548107	0.152534919741752	0.0171380279473251	0.169059465985242
"Grid2"	-0.0587711335437736	-0.00526732964450168	0.482939027666813	0.048276796406683	-0.316937895928332
"Acot13"	0.0354236380567197	0.0461582467621578	-0.00442113144436989	0.321245285383347	0.179892356197472
"Suox"	-0.401769049062945	-0.337578084263221	-0.518138257625033	-0.139295796578862	-1.31665657931856
"Chpt1"	-0.093529946237534	-0.197014942272134	-0.470582329571897	-0.0808182186098068	-0.904143655159073
"Gabrg2"	-0.0278515293694864	-0.00328539300117237	-0.0930803135141324	-0.170343877275081	-0.26562978199857
"Gabrg1"	0.011072049526227	0.0259204534503947	-0.00720269509208536	-0.0525165120868208	0.244254778479372
"Nt5c"	-0.0877371341241013	-0.0525399567332087	-0.0421911499341651	-0.0626792569566227	0.177249569403965
"Nipa1"	-0.0828459260365616	-0.0546857032891361	0.0378217476915946	0.130729929969669	-0.211648004855457
"Hsd11b1"	-0.0123528976136427	0.00718833565097725	0.0976706268871374	0.0402467834538918	-0.00953106984062105
"Tpmt"	0.0653471355886472	0.038394434083465	-0.322904927145859	0.031758766377262	0.0435096043421859
"Kcnq2"	-0.0645032594414829	-0.0126665822091944	-0.278604027024453	0.0020792426221297	0.412283418145048
"Uggt2"	-0.0902382382816963	-0.10968436139602	-0.205877185258426	-0.189037847760587	-0.46148543304078
"Mthfd1l"	-0.0257287491005136	-0.0156771940635287	0.189200270117739	0.0661345197768825	2.04956122198203
"Slc24a4"	-0.258491641258672	-0.392504658256023	-0.526782010482058	-0.425341349965849	-1.27121492177363
"Gpam"	-0.0181673163551122	0.0516040869678836	0.0208958213784116	-0.0273280447841777	0.0832549443785195
"Ugt3a1"	-0.00849008408349561	-0.00772865527635654	-0.0806401567620606	0.255763811426185	1.40816715686084
"Ugt3a2"	0.0630440864193597	0.00750437306551081	0.219163914956649	0.0148177904625784	-0.268618421195674
"Nox1"	-0.0125777557467978	0.0166681697573588	0.0805189020542185	0.0244337796855068	0.14911533803248
"Edem1"	-0.361445017854846	-0.357927216937089	-0.55927469556465	-0.359219976025954	-0.906673324948636
"Abcc5"	0.134633208690675	0.0783505644153134	0.183807010921601	-0.0295586076941527	0.194696342183608
"Acy1"	0.0124495780208679	0.027226130516647	-0.0276850188422016	-0.0476800042575001	0.460022580549961
"Apoh"	-0.0148533752040975	0.00597170866988866	-0.107331197188944	-0.0172364060520345	-0.344072838577103
"Abcc12"	0.0242621227163725	0.0195447072532571	-0.0950597244761764	-0.116574317055447	-0.179356857463757
"Gpd1l"	0.0558478898816482	0.0581482215687427	-0.0123488299665723	-0.0904050922392546	-0.149740771046388
"Ndufa4"	-0.0642931396724528	-0.081488983559474	-0.0264467150115967	-0.270513185307155	-0.0139878760802625
"Control-target"	0.138278769674547	0.0851772325922242	0.0550252438866336	0.148622125031768	0.250369671305308
"Control-target"	-0.0489016753966487	-0.0631075045444396	-0.00972625677399053	-0.0883705671608547	-0.152203086023795
"Pigk"	-0.342402616927152	-0.242776851526172	-0.344171035015532	-0.457061397087298	-0.476100688508919
"Vamp7"	-0.136710676604912	-0.100671591349363	0.11497228401565	0.126599149876095	-0.421808875084658
"Gcnt1"	0.0245473331937685	-0.0148051636396333	-0.362193787604391	0.176975117407226	-0.270366467197815
"Gstm5"	-0.0614961687165496	-0.0500201045457036	-0.0792298140436012	0.121099506921059	-0.563948029592165
"Acad10"	-0.0596328192012478	-0.055600970194842	-0.31465170280444	-0.145960190301317	-0.186910584023023
"Hmbs"	-0.0972199670468072	-0.00517325014606393	-0.275012580902212	-0.471319007936084	0.179034214012419
"Sms-ps"	-0.0559966547293516	-0.00210072978286182	-0.347728603324646	0.108549512494035	-0.0243390961100604
"Abhd14a"	0.0293941711100032	0.00125326769714065	-0.0321727933505009	0.0533901338350183	-0.149118714953067
"Nr1h3"	0.0155100276381203	0.0100441501198252	-0.00770595605619623	-0.0107280088196927	0.301898456613252
"Ephx3"	0.0574314836212084	0.0321028385115328	0.0513869273349732	-0.0418275540479141	0.242726152536944
"Pank2"	-0.0282600786406781	-0.0388397203415018	-0.0127866428979077	0.143368696851714	0.789447139779874
"Lipk"	0.0360779708680342	0.0542085695766066	0.111369495908565	0.0497672456950502	-0.104323130073243
"Galm"	0.070802973097059	0.0954108288343317	0.211346171727973	0.3411000389145	0.395026794408621
"Gstk1"	0.0315184513321286	0.0733444044817189	0.0786572581642269	0.182586215290944	0.223740287546765
"Chst15"	0.00444135382448291	-0.0146210284657962	-0.064694237078555	-0.0418918868202738	0.275047930456212
"Etfb"	-0.0178492544525643	0.0508841435190244	-0.00207021728380922	-0.156196037953039	0.219588608485595
"Impdh2-ps"	0.0999847665344258	0.11942089477943	0.302833734069152	-0.0512280026941911	0.0937898983952735
"Gstm7"	0.0743107364989253	0.0816779549978257	0.0229179795198765	0.148008334788871	0.251017818208362
"Ndst2"	-0.0888458268706528	-0.0944613209882071	-0.171414452456959	-0.145419617266517	0.487028325932814
"Atp6v1g3"	-0.0294589441212992	-0.0618538727415053	0.0995724124626576	-0.0326992917601443	-0.509279766022374
"Cyp4v3"	0.0155819163653317	0.0724790016340609	0.209454862427825	-0.236052982776736	0.0910189886118795
"Dgat1"	-0.040476836025049	-0.0388635040808131	-0.0381121754146564	-0.218775916237732	-0.265526309436106
"Sod1"	-0.76379901404977	-0.699570826669194	-0.0406873552344461	-0.0893298255305396	-0.159258040319643
"Scnn1a"	-0.0839376644775118	-0.115695304780424	-0.133504370683957	-0.0919835550034394	-0.14423496650158
"Chrna3"	-0.308499955852335	-0.376576259479602	-0.506225054349336	-0.388994775312785	-0.681309553869464
"Clca4a"	-0.148763534413137	-0.0990331485366267	0.19838302999216	-0.421980360822542	0.13994645221398
"Cyp3a13"	0.014873025443837	0.0349073571401054	0.0350967018121613	0.101365128612735	0.0494246129764997
"Abca7"	-0.00251089114441089	-0.0733389999799081	0.0667195189531127	-0.23664122226605	-0.0975882116777553
"Aasdhppt"	-0.924160178116854	-0.584607899607323	-0.596100896135452	-0.841039017984867	-0.424455544790411
"Phf8"	-0.53325594121713	-0.485807283341812	-0.60121833836376	-0.37217520739244	-1.54621964185345
"Elovl3"	-0.0192625676023522	-0.0934412404200103	-0.0401940884115162	-0.0761617216954817	0.0357310076575231
"Slc30a9"	-0.118551132836387	-0.0363270621519495	-0.000349552832618041	0.0399551682806961	0.715723246663446
"Galnt15"	-0.050071338480162	-0.0326360544635608	-0.0366771297885412	-0.223037535634187	0.470254687082853
"Slc39a10"	-0.0464209720430577	-0.0233838406758205	0.0205752810031922	-0.543960313483721	-0.126140232604159
