"Barcodes"	"P7"	"B6"	"Nude"	"ThreeD"
"BRDN0003510401"	0.0627414398046205	-0.136616737746901	0.138375449395311	0.314978590364957
"BRDN0003494598"	-0.179988173135842	0.136224392888486	-0.0503761109276785	0.816734547639383
"BRDN0003510958"	0.0695601979784484	0.0157123270332205	-0.176623396687164	-0.824472894164362
"BRDN0003493609"	0.0411012835509287	0.036571049678951	-0.1065178299766	0.0813353930705736
"BRDN0003499531"	0.0984280182944593	-0.166391050308636	-0.201048730900235	0.286759008475951
"BRDN0003506040"	0.0527476862130772	-0.0343432861509753	-0.111480995759163	-0.248328916186239
"BRDN0003497925"	-0.0799805777450908	0.201299739555772	0.106547521397756	-0.113887943121933
"BRDN0003507441"	-0.0338734694708314	-0.200501967019331	0.0582974786552607	-0.511128980421066
"BRDN0003509771"	-0.033536331825319	-0.2247724533085	0.148577031477448	1.63494231639427
"BRDN0003510361"	-0.0403727583704657	0.0540585686155531	-0.0507358857857779	0.17412968480713
"BRDN0003499357"	-0.00488181039158954	0.0670624081726947	0.187788850938895	0.517609791442713
"BRDN0003497594"	-0.00620743184730069	-0.0525784752222237	-0.0748079831932979	0.283437393560293
"BRDN0003501466"	-0.0648161607505015	-0.0823847156340483	-0.101584686272946	-0.381029680646939
"BRDN0003510369"	0.0852612390356866	0.158078380683834	-0.191338450508829	-0.77580139075796
"BRDN0003511329"	-0.0190336703831856	-0.173229634752996	0.0531925335445623	-0.0512101066282063
"BRDN0003508410"	0.0704413566451576	-0.0713915459313482	0.2786534148494	0.0568774874245449
"BRDN0003510077"	-0.00601765420951161	-0.149906267216396	0.388472299282388	-0.971266609024028
"BRDN0003510070"	0.106599157176235	-0.290442537625951	-0.142824077234705	-0.181772730474585
"BRDN0003510180"	0.107449734756922	-0.0699113106148871	-0.0918101231174462	0.121657312005417
"BRDN0003506634"	0.0173223492190079	-0.20395795098589	-0.0491045427984596	-0.23046403750704
"BRDN0003505310"	0.0718737484947814	0.0643636793681387	-0.311065118974747	-0.187881110836982
"BRDN0003507714"	-0.0235517782443394	-0.276599874462006	-0.0699653657675245	0.221283469154467
"BRDN0003500994"	0.0989402489073441	-0.367962348013368	0.090661015755786	-0.305331063619361
"BRDN0003510969"	0.064714987344934	0.029167456460823	0.185421938227581	-0.843989365157407
"BRDN0003509940"	0.0200652277837751	0.0425498434259566	-0.194830372205604	-0.340060832985073
"BRDN0003509389"	0.0168255040774938	0.398837322559543	0.121140185596035	-0.629323839207059
"BRDN0003497530"	-0.0061080863243367	-0.0556471124588603	-0.267773349199115	0.00859749262620906
"BRDN0003494687"	0.101967389338088	-0.154336277196069	-0.197612296107938	-0.0103762949665698
"BRDN0003495681"	-0.046602378998681	-0.0838719022668801	0.0521769065954895	-0.227908028988938
"BRDN0003499354"	-0.0254020709762633	0.153031656283982	0.153594662390847	-0.1274732502575
"BRDN0003504226"	0.0207158100482643	-0.223283826648753	-0.11281929959684	0.503434512617742
"BRDN0003505578"	0.0626574352553671	0.133894904179422	-0.242865748617736	-0.25396233144656
"BRDN0003504925"	-0.0668437986634348	0.117601013166709	0.243826191202814	0.109438781199825
"BRDN0003505798"	-0.0491250042308218	-0.200158543673614	0.0849757869913698	0.11987673997285
"BRDN0003506038"	0.00866990333498085	0.106385558137327	0.184034127296877	0.395500860125153
