"Barcodes"	"P7"	"P3"	"B6"	"Nude"	"ThreeD"
"BRDN0003510401"	-0.0368033583429114	-0.0919854621643375	-0.235713280599949	0.0255159091028694	0.220186876437833
"BRDN0003494598"	-0.678714901820407	-0.499702222133034	-0.361174976279976	-0.540242201725353	0.337149385456348
"BRDN0003510958"	-0.139104946534662	-0.204764078951612	-0.20443636884386	-0.35255779850516	-1.04485896904943
"BRDN0003493609"	-0.0916418784602199	-0.130903364670421	-0.0858227912995952	-0.216723301448638	-0.203049990045845
"BRDN0003499531"	0.143961150094003	0.0773600135927915	-0.0923386861037659	-0.14316004053005	0.360732796684265
"BRDN0003506040"	-0.109223804025892	-0.160840330862198	-0.163266792313789	-0.262541636873493	-0.392723155000299
"BRDN0003497925"	-0.00491697457902923	0.0699607997190384	0.27395862446294	0.149097920521355	-0.030949808050381
"BRDN0003507441"	-0.207596518144508	-0.167867792684776	-0.381109164315176	-0.153485878622838	-0.681855224495689
"BRDN0003509771"	-0.157358266077324	-0.135021952198335	-0.373163630616364	0.0109911150244132	1.4921836139326
"BRDN0003510361"	-0.0756860627680249	-0.046175582707375	0.0209218456295956	-0.107000035980405	0.122626989993734
"BRDN0003499357"	-0.0487320648133448	-0.0401644387559032	0.0240951237864127	0.1287496875213	0.371907462098663
"BRDN0003497594"	-0.0786500165051695	-0.0718033470026089	-0.121813887110044	-0.146452124372702	0.264280149049237
"BRDN0003501466"	-0.234866054281503	-0.142707027057695	-0.247542788087416	-0.243863173510846	-0.531909217730804
"BRDN0003510369"	-0.127098785119865	-0.240574659084734	-0.0850301516445677	-0.415486313086086	-0.980672061454321
"BRDN0003511329"	-0.0730799923006977	-0.0518828493975637	-0.226719385281621	0.00192345084011139	-0.265765238966813
"BRDN0003508410"	-0.0354471160687688	-0.0771718274725097	-0.164813407160453	0.184553305801432	0.181746871482076
"BRDN0003510077"	-0.449278287427801	-0.484023216672711	-0.640860512806315	-0.0690600140098941	-1.13178807622679
"BRDN0003510070"	-0.148617822375717	-0.21982972148403	-0.515775135549323	-0.399232497771811	-0.623139769053892
"BRDN0003510180"	0.00241693153973566	-0.106589632340452	-0.170731506496553	-0.277217998964307	0.0319338652778129
